Open,Close,VWAP,Volume,MACD,DPO,HULL-16,MFM,Lable
158.6,159.55,159.92,6479665,7.427718054,5.27,161.5561682,64.95542829,1
159,155.3,156.6,3176235,7.266058371,2.98,159.655795,-64.21665156,-1
157.5,152,156.44,6289717,6.937024769,8.6725,158.8715774,-4.827640388,-1
153,154.3,151.69,5822227,6.241408364,11.7975,158.0600368,-2.717074225,1
155.75,157.8,155.09,6275722,5.844533218,5.445,156.6223284,-4.537297336,1
158.95,154.5,157.73,5177467,5.7221281,4.82,155.3514529,-8.493770297,-1
152.15,163,163.02,7702848,5.018870713,4.3125,155.1872543,-5.167297353,1
166,157.1,162.2,5094940,5.514938798,2.905,155.1567432,-12.91351156,-1
158.45,148.85,152.16,4361968,5.238831544,-2.87,156.5217481,-9.810644959,-1
151.5,149.2,148.45,2003346,4.408691354,-1.11,157.4903971,-6.730166731,-1
148.1,150.95,150.94,1971857,3.436952619,0.6125,156.7305317,-7.41331738,1
149.1,142,141.98,1693295,2.716150327,3.405,154.876852,-7.38149114,-1
139.1,131.95,137.75,1925253,1.323143606,-0.0125,153.0857015,-8.72451265,-1
128.65,111.05,116.16,3373562,-0.616559465,-1.7675,150.088451,-26.22929005,-1
109,124.45,119.46,2011378,-3.696030105,2.87,144.8175429,-4.91024194,1
120.05,132.85,128.6,2153053,-5.185741446,8.0625,135.0110551,-3.393938338,1
132.05,125.6,130.17,1808086,-5.337127214,6.0525,126.4572445,-5.503476545,-1
121,133.3,130.75,1542787,-6.275957416,16.2,121.8998731,-2.614561543,1
134.9,131.85,132.65,1150438,-5.831809009,11.31,119.5239106,-4.664724593,-1
130.3,137.15,135.21,1338783,-5.784131206,4.23,119.5831957,-9.830604266,1
137,134.7,134.99,947108,-5.146690974,5.5625,120.9875059,-20.89797905,-1
136,133.25,133.07,1581849,-4.668341621,8.555,124.5141254,-12.29716937,-1
131,133.35,133.32,594687,-4.639012807,0.7075,128.4732583,-46.79184065,1
133.4,130.35,131.67,512779,-4.371833561,-8.41,131.6221239,15.5499558,-1
131.45,131.6,132.23,583394,-4.268162474,-28.1125,133.5426678,3.445778965,1
131,128.05,128.75,882154,-4.174189637,-13.4025,134.0831512,5.549036232,-1
128.25,122.35,125.67,1019208,-4.27226513,-3.68,133.9819178,98.01934247,-1
121.15,115.75,117.19,780874,-4.866522933,-8.8975,132.9216704,-150.4528906,-1
115.5,119.2,118.46,1267959,-5.727172212,0.87,130.4246907,-5.034726835,1
119.5,119.2,118.19,806089,-6.017346075,0.9025,126.1682255,-22.34403028,-1
119.95,123.45,123.67,1365694,-6.14027577,7.7025,122.1270986,-12.69737485,1
122.75,126.65,126.42,735028,-5.943400073,6.6275,118.9286714,-60.01145794,1
126.95,124.5,126.3,764102,-5.386570628,5.945,117.6357403,-44.43428869,-1
126.45,122.1,123.66,805490,-4.928783897,6.4175,118.1854302,-9.259649758,-1
120.1,115,116.56,1517664,-5.020234899,2.865,119.4721422,-9.072874895,-1
114.05,120.55,118.51,1130700,-5.517064923,4.5875,120.620521,-6.768607113,1
121.1,126.5,124.4,1188459,-5.281395444,1.6525,120.2651791,-23.99352045,1
128,132.35,131.31,1824718,-4.486440753,-4.0925,120.0061883,8.653971721,1
132.85,138.2,137.27,3027025,-3.42577641,-10.645,120.9314,5.512182559,1
138.9,133.95,135.21,1051193,-2.073329771,-7.5125,123.5943136,6.573050602,-1
134.9,135.4,136.29,951281,-1.308958818,-7.3525,127.8394281,12.37175764,1
134,135.15,135.24,989395,-0.766902773,-3.1375,131.7035555,20.05538514,1
136.9,146.1,142.06,3374671,-0.102236424,-0.0325,135.0473126,66.00502419,1
147,140.65,145.58,2355061,1.224981934,-2.82,137.5604866,4.44460204,-1
